# BEGIN PLOT
RatioPlotReference=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_10_10_R8
RatioPlot=1
DrawOnly=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_10_10_R8 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200-alphasx11.yoda/MC_LHQG_EE/GA_10_10_R8 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200-alphasx12.yoda/MC_LHQG_EE/GA_10_10_R8
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_10_10_R8
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_10_10_R8
ScaledBy=3.8984075005360307e-06
Title=1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.949204e-03	1.949204e-03	1.949204e-03
2.000000e-03	4.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-03	6.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-03	8.000000e-03	1.949204e-03	1.949204e-03	1.949204e-03
8.000000e-03	1.000000e-02	3.898408e-03	2.756590e-03	2.756590e-03
1.000000e-02	1.200000e-02	5.847610e-03	3.376120e-03	3.376120e-03
1.200000e-02	1.400000e-02	7.796815e-03	3.898407e-03	3.898407e-03
1.400000e-02	1.600000e-02	9.746020e-03	4.358552e-03	4.358552e-03
1.600000e-02	1.800000e-02	1.364443e-02	5.157109e-03	5.157109e-03
1.800000e-02	2.000000e-02	1.754283e-02	5.847611e-03	5.847611e-03
2.000000e-02	2.200000e-02	2.923806e-02	7.549233e-03	7.549233e-03
2.200000e-02	2.400000e-02	3.898407e-02	8.717104e-03	8.717104e-03
2.400000e-02	2.600000e-02	4.093328e-02	8.932374e-03	8.932374e-03
2.600000e-02	2.800000e-02	8.576495e-02	1.292956e-02	1.292956e-02
2.800000e-02	3.000000e-02	1.111046e-01	1.471617e-02	1.471617e-02
3.000000e-02	3.200000e-02	1.091554e-01	1.458650e-02	1.458650e-02
3.200000e-02	3.400000e-02	1.286474e-01	1.583540e-02	1.583540e-02
3.400000e-02	3.600000e-02	1.793268e-01	1.869610e-02	1.869610e-02
